208: 24 solutions found
(2, 8, 1, 5, 9, 4, 6, 7, 3)
(2, 8, 1, 5, 9, 4, 7, 6, 3)
(3, 8, 1, 7, 9, 5, 4, 6, 2)
(3, 8, 1, 7, 9, 5, 6, 4, 2)
(3, 9, 1, 5, 7, 4, 6, 8, 2)
(3, 9, 1, 5, 7, 4, 8, 6, 2)
(3, 9, 1, 5, 8, 6, 4, 7, 2)
(3, 9, 1, 5, 8, 6, 7, 4, 2)
(4, 7, 1, 5, 9, 3, 6, 8, 2)
(4, 7, 1, 5, 9, 3, 8, 6, 2)
(5, 7, 1, 4, 9, 3, 6, 8, 2)
(5, 7, 1, 4, 9, 3, 8, 6, 2)
(5, 8, 1, 2, 9, 4, 6, 7, 3)
(5, 8, 1, 2, 9, 4, 7, 6, 3)
(5, 8, 1, 7, 9, 4, 3, 6, 2)
(5, 8, 1, 7, 9, 4, 6, 3, 2)
(5, 9, 1, 3, 7, 4, 6, 8, 2)
(5, 9, 1, 3, 7, 4, 8, 6, 2)
(5, 9, 1, 3, 8, 6, 4, 7, 2)
(5, 9, 1, 3, 8, 6, 7, 4, 2)
(7, 8, 1, 3, 9, 5, 4, 6, 2)
(7, 8, 1, 3, 9, 5, 6, 4, 2)
(7, 8, 1, 5, 9, 4, 3, 6, 2)
(7, 8, 1, 5, 9, 4, 6, 3, 2)
